,Class Name,precision,recall,f1-score,support
0,N,0.9946,0.9738,0.9841,18118
1,S,0.6993,0.8615,0.772,556
2,V,0.9347,0.9593,0.9468,1448
3,F,0.4185,0.9506,0.5811,162
4,Q,0.9882,0.9913,0.9898,1608
,,,,,
accuracy,,,,0.9711,21892
macro avg,,0.8071,0.9473,0.8548,21892
weighted avg,,0.9784,0.9711,0.9737,21892
